"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 17:43:12 IST 2024","Fri Oct 18 17:43:13 IST 2024","1328","","validating home page","","validating filter with Z to A","","validating filter with Z to A",""
"passed","Fri Oct 18 17:43:01 IST 2024","Fri Oct 18 17:43:02 IST 2024","1510","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:04 IST 2024","Fri Oct 18 17:43:06 IST 2024","1612","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:13 IST 2024","Fri Oct 18 17:43:15 IST 2024","1479","","validating home page","","validating filter with price low to high","","validating filter with price low to high",""
"passed","Fri Oct 18 17:43:09 IST 2024","Fri Oct 18 17:43:10 IST 2024","1646","","validating checkout functionality","","validating checkout fanctonality with empty credential","","validating checkout fanctonality with empty credential",""
"passed","Fri Oct 18 17:42:58 IST 2024","Fri Oct 18 17:42:59 IST 2024","1596","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:16 IST 2024","Fri Oct 18 17:43:17 IST 2024","1263","","validating home page","","validating log out button","","validating log out button",""
"passed","Fri Oct 18 17:42:59 IST 2024","Fri Oct 18 17:43:01 IST 2024","1530","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:10 IST 2024","Fri Oct 18 17:43:12 IST 2024","1382","","validating checkout functionality","","validating remove button from cart","","validating remove button from cart",""
"passed","Fri Oct 18 17:42:53 IST 2024","Fri Oct 18 17:42:56 IST 2024","3509","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:07 IST 2024","Fri Oct 18 17:43:09 IST 2024","1521","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:17 IST 2024","Fri Oct 18 17:43:19 IST 2024","1289","","Validate login functionality","","verify successful login with valid credential","","verify successful login with valid credential",""
"passed","Fri Oct 18 17:42:56 IST 2024","Fri Oct 18 17:42:58 IST 2024","1557","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:02 IST 2024","Fri Oct 18 17:43:04 IST 2024","1545","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:06 IST 2024","Fri Oct 18 17:43:07 IST 2024","1535","","validating checkout functionality","","validating checkout fanctonality with valid credential","","validating checkout fanctonality with valid credential",""
"passed","Fri Oct 18 17:43:15 IST 2024","Fri Oct 18 17:43:16 IST 2024","1436","","validating home page","","validating filter with price high to low","","validating filter with price high to low",""
